Register Long Name,Register Short Name,Register Page,Register Address,Bit Field Number,Bit Field Name,Bit Field Reset Value,Bit Field Access,Bit Field Description,Bit Field Enumerations
,BMSR,,0x0001,15,100Base-T4,0x0000,RO,"100Base-T4 Capable:
This protocol is not available. Always reads as 0.",
,BMSR,,0x0001,14,100Base-TX Full-Duplex,0x0001,RO,"100Base-TX Full-Duplex Capable:
1 = Device able to perform Full-Duplex 100Base-TX
0 = Device not able to perform Full-Duplex 100Base-TX","0x0001: Device able to perform Full-Duplex 100Base-TX
0x0000: Device not able to perform Full-Duplex 100Base-TX"
,BMSR,,0x0001,13,100Base-TX Half-Duplex,0x0001,RO,"100Base-TX Half-Duplex Capable:
1 = Device able to perform Half-Duplex 100Base-TX
0 = Device not able to perform Half-Duplex 100Base-TX","0x0001: Device able to perform Half-Duplex 100Base-TX
0x0000: Device not able to perform Half-Duplex 100Base-TX"
,BMSR,,0x0001,12,10Base-Te Full-Duplex,0x0001,RO,"10Base-Te Full-Duplex Capable:
1 = Device able to perform Full-Duplex 10Base-Te
0 = Device not able to perform Full-Duplex 10Base-Te","0x0001: Device able to perform Full-Duplex 10Base-Te
0x0000: Device not able to perform Full-Duplex 10Base-Te"
,BMSR,,0x0001,11,10Base-Te Half-Duplex,0x0001,RO,"10Base-Te Half-Duplex Capable:
1 = Device able to perform Half-Duplex 10Base-Te
0 = Device not able to perform Half-Duplex 10Base-Te","0x0001: Device able to perform Half-Duplex 10Base-Te
0x0000: Device not able to perform Half-Duplex 10Base-Te"
,BMSR,,0x0001,10..7,Reserved,0x0000,RO,Reserved,
,BMSR,,0x0001,6,SMI Preamble Suppression,0x0001,RO,"Preamble Suppression Capable:
1 = Device able to perform SMI transaction with preamble suppressed
0 = Device not able to perform SMI transaction with preamble suppressed
If this bit is set to 1, 32-bits of preamble needed only once after reset, invalid opcode or invalid turnaround.","0x0001: Device able to perform SMI transaction with preamble suppressed
0x0000: Device not able to perform SMI transaction with preamble suppressed"
,BMSR,,0x0001,5,Auto-Negotiation Complete,0x0000,RO,"Auto-Negotiation Complete:
1 = Auto-Negotiation process completed
0 = Auto Negotiation process not completed (either still in process, disabled or reset)","0x0001: Auto-Negotiation process completed
0x0000: Auto Negotiation process not completed (either still in process, disabled or reset)"
,BMSR,,0x0001,4,Remote Fault,0x0000,RO/LH,"Remote Fault:
1 = Remote fault condition detected
0 = No remote fault condition detected
Far End Fault indication or notification from Link Partner of Remote
Fault. This bit is cleared on read or reset.","0x0001: Remote fault condition detected
0x0000: No remote fault condition detected"
,BMSR,,0x0001,3,Auto-Negotiation Ability,0x0001,RO,"Auto-Negotiation Ability:
1 = Device is able to perform Auto-Negotiation
0 = Device is not able to perform Auto-Negotiation","0x0001: Device is able to perform Auto-Negotiation
0x0000: Device is not able to perform Auto-Negotiation"
,BMSR,,0x0001,2,Link Status,0x0000,RO/LL,"Link Status:
1 = Valid link established (for either 10 Mbps or 100 Mbps operation)
0 = Link not established","0x0001: Valid link established (for either 10 Mbps or 100 Mbps operation)
0x0000: Link not established"
,BMSR,,0x0001,1,Jabber Detect,0x0000,RO/LH,"Jabber Detect:
1 = Jabber condition detected
0 = No jabber condition detected
This bit only has meaning for 10Base-Te operation.","0x0001: Jabber condition detected
0x0000: No jabber condition detected"
,BMSR,,0x0001,0,Extended Capability,0x0001,RO,"Extended Capability:
1 = Extended register capabilities
0 = Basic register set capabilities only","0x0001: Extended register capabilities
0x0000: Basic register set capabilities only"
,PHYIDR1,,0x0002,15..0,"Organizationally Unique
Identifier Bits 21:6",0x2000,RO,,
,PHYIDR2,,0x0003,15..10,"Organizationally Unique
Identifier Bits 5:0",0x0028,RO,,
,PHYIDR2,,0x0003,9..4,Model Number,0x0024,RO,"Vendor Model Number:
The six bits of vendor model number are mapped from bits [9] to [4]",
,PHYIDR2,,0x0003,3..0,Revision Number,0x0000,RO,"Model Revision Number:
Four bits of the vendor model revision number are mapped from bits
[3:0]. This field is incremented for all major device changes.",
,ANAR,,0x0004,15,Next Page,0x0000,RW,"Next Page Indication:
1 = Next Page Transfer desired
0 = Next Page Transfer not desired","0x0001: Next Page Transfer desired
0x0000: Next Page Transfer not desired"
,ANAR,,0x0004,14,Reserved,0x0000,RO,Reserved,
,ANAR,,0x0004,13,Remote Fault,0x0000,RW,"Remote Fault:
1 = Advertises that this device has detected a Remote Fault
0 = No Remote Fault detected","0x0001: Advertises that this device has detected a Remote Fault
0x0000: No Remote Fault detected"
,ANAR,,0x0004,12,Reserved,0x0000,RO,Reserved,
,ANAR,,0x0004,11,Asymmetric Pause,0x0000,RW,"Asymmetric Pause Support For Full-Duplex Links:
1 = Advertise asymmetric pause ability
0 = Do not advertise asymmetric pause ability","0x0001: Advertise asymmetric pause ability
0x0000: Do not advertise asymmetric pause ability"
,ANAR,,0x0004,10,Pause,0x0000,RW,"Pause Support for Full-Duplex Links:
1 = Advertise pause ability
0 = Do not advertise pause ability","0x0001: Advertise pause ability
0x0000: Do not advertise pause ability"
,ANAR,,0x0004,9,100Base-T4,0x0000,RO,"100Base-T4 Support:
1 = Advertise 100Base-T4 ability
0 = Do not advertise 100Base-T4 ability","0x0001: Advertise 100Base-T4 ability
0x0000: Do not advertise 100Base-T4 ability"
,ANAR,,0x0004,8,100Base-TX Full-Duplex,0x0001,RW/Strap,"100Base-TX Full-Duplex Support:
1 = Advertise 100Base-TX Full-Duplex ability
0 = Do not advertise 100Base-TX Full-Duplex ability","0x0001: Advertise 100Base-TX Full-Duplex ability
0x0000: Do not advertise 100Base-TX Full-Duplex ability"
,ANAR,,0x0004,7,100Base-TX Half-Duplex,0x0001,RW/Strap,"100Base-TX Half-Duplex Support:
1 = Advertise 100Base-TX Half-Duplex ability
0 = Do not advertise 100Base-TX Half-Duplex ability","0x0001: Advertise 100Base-TX Half-Duplex ability
0x0000: Do not advertise 100Base-TX Half-Duplex ability"
,ANAR,,0x0004,6,10Base-Te Full-Duplex,0x0001,RW/Strap,"10Base-Te Full-Duplex Support:
1 = Advertise 10Base-Te Full-Duplex ability
0 = Do not advertise 10Base-Te Full-Duplex ability","0x0001: Advertise 10Base-Te Full-Duplex ability
0x0000: Do not advertise 10Base-Te Full-Duplex ability"
,ANAR,,0x0004,5,10Base-Te Half-Duplex,0x0001,RW/Strap,"10Base-Te Half-Duplex Support:
1 = Advertise 10Base-Te Half-Duplex ability
0 = Do not advertise 10Base-Te Half-Duplex ability","0x0001: Advertise 10Base-Te Half-Duplex ability
0x0000: Do not advertise 10Base-Te Half-Duplex ability"
,ANAR,,0x0004,4..0,Selector Field,0x0001,RW,"Protocol Selection Bits:
Technology selector field (IEEE802.3u <00001>)",
,ANLPAR,,0x0005,15,Next Page,0x0000,RO,"Next Page Indication:
1 = Link partner desires Next Page Transfer
0 = Link partner does not desire Next Page Transfer","0x0001: Link partner desires Next Page Transfer
0x0000: Link partner does not desire Next Page Transfer"
,ANLPAR,,0x0005,14,Acknowledge,0x0000,RO,"Acknowledge:
1 = Link partner acknowledges reception of link code word
0 = Link partner does not acknowledge reception of link code word","0x0001: Link partner acknowledges reception of link code word
0x0000: Link partner does not acknowledge reception of link code word"
,ANLPAR,,0x0005,13,Remote Fault,0x0000,RO,"Remote Fault:
1 = Link partner advertises remote fault event detection
0 = Link partner does not advertise remote fault event detection","0x0001: Link partner advertises remote fault event detection
0x0000: Link partner does not advertise remote fault event detection"
,ANLPAR,,0x0005,12,Reserved,0x0000,RO,Reserved,
,ANLPAR,,0x0005,11,Asymmetric Pause,0x0000,RO,"Asymmetric Pause:
1 = Link partner advertises asymmetric pause ability
0 = Link partner does not advertise asymmetric pause ability","0x0001: Link partner advertises asymmetric pause ability
0x0000: Link partner does not advertise asymmetric pause ability"
,ANLPAR,,0x0005,10,Pause,0x0000,RO,"Pause:
1 = Link partner advertises pause ability
0 = Link partner does not advertise pause ability","0x0001: Link partner advertises pause ability
0x0000: Link partner does not advertise pause ability"
,ANLPAR,,0x0005,9,100Base-T4,0x0000,RO,"100Base-T4 Support:
1 = Link partner advertises 100Base-T4 ability
0 = Link partner does not advertise 100Base-T4 ability","0x0001: Link partner advertises 100Base-T4 ability
0x0000: Link partner does not advertise 100Base-T4 ability"
,ANLPAR,,0x0005,8,100Base-TX Full-Duplex,0x0000,RO,"100Base-TX Full-Duplex Support:
1 = Link partner advertises 100Base-TX Full-Duplex ability
0 = Link partner does not advertise 100Base-TX Full-Duplex ability","0x0001: Link partner advertises 100Base-TX Full-Duplex ability
0x0000: Link partner does not advertise 100Base-TX Full-Duplex ability"
,ANLPAR,,0x0005,7,100Base-TX Half-Duplex,0x0000,RO,"100Base-TX Half-Duplex Support:
1 = Link partner advertises 100Base-TX Half-Duplex ability
0 = Link partner does not advertise 100Base-TX Half-Duplex ability","0x0001: Link partner advertises 100Base-TX Half-Duplex ability
0x0000: Link partner does not advertise 100Base-TX Half-Duplex ability"
,ANLPAR,,0x0005,6,10Base-Te Full-Duplex,0x0000,RO,"10Base-Te Full-Duplex Support:
1 = Link partner advertises 10Base-Te Full-Duplex ability
0 = Link partner does not advertise 10Base-Te Full-Duplex ability","0x0001: Link partner advertises 10Base-Te Full-Duplex ability
0x0000: Link partner does not advertise 10Base-Te Full-Duplex ability"
,ANLPAR,,0x0005,5,10Base-Te Half-Duplex,0x0000,RO,"10Base-Te Half-Duplex Support:
1 = Link partner advertises 10Base-Te Half-Duplex ability
0 = Link partner does not advertise 10Base-Te Half-Duplex ability","0x0001: Link partner advertises 10Base-Te Half-Duplex ability
0x0000: Link partner does not advertise 10Base-Te Half-Duplex ability"
,ANLPAR,,0x0005,4..0,Selector Field,0x0000,RO,"Protocol Selection Bits:
Technology selector field (IEEE802.3 <00001>)",
,ANER,,0x0006,15..5,Reserved,0x0000,RO,Reserved,
,ANER,,0x0006,4,Parallel Detection Fault,0x0000,RO/ LH,"Parallel Detection Fault:
1 = A fault has been detected during the parallel detection process
0 = No fault detected","0x0001: A fault has been detected during the parallel detection process
0x0000: No fault detected"
,ANER,,0x0006,3,Link Partner Next Page Able,0x0000,RO,"Link Partner Next Page Ability:
1 = Link partner is able to exchange next pages
0 = Link partner is not able to exchange next pages","0x0001: Link partner is able to exchange next pages
0x0000: Link partner is not able to exchange next pages"
,ANER,,0x0006,2,Local Device Next Page Able,0x0001,RO,"Next Page Ability:
1 = Local device is able to exchange next pages
0 = Local device is not able to exchange next pages","0x0001: Local device is able to exchange next pages
0x0000: Local device is not able to exchange next pages"
,ANER,,0x0006,1,Page Received,0x0000,RO/LH,"Link Code Word Page Received:
1 = A new page has been received
0 = A new page has not been received","0x0001: A new page has been received
0x0000: A new page has not been received"
,ANER,,0x0006,0,"Link Partner Auto-Negotiation
Able",0x0000,RO,"Link Partner Auto-Negotiation Ability:
1 = Link partner supports Auto-Negotiation
0 = Link partner does not support Auto-Negotiation","0x0001: Link partner supports Auto-Negotiation
0x0000: Link partner does not support Auto-Negotiation"
,ANNPTR,,0x0007,15,Next Page,0x0000,RW,"Next Page Indication:
1 = Advertise desire to send additional next pages
0 = Do not advertise desire to send additional next pages","0x0001: Advertise desire to send additional next pages
0x0000: Do not advertise desire to send additional next pages"
,ANNPTR,,0x0007,14,Reserved,0x0000,RO,Reserved,
,ANNPTR,,0x0007,13,Message Page,0x0001,RW,"Message Page:
1 = Current page is a message page
0 = Current page is an unformatted page","0x0001: Current page is a message page
0x0000: Current page is an unformatted page"
,ANNPTR,,0x0007,12,Acknowledge 2,0x0000,RW,"Acknowledge2:
1 = Will comply with message
0 = Cannot comply with message
Acknowledge2 is  used  by  the next page  function to indicate that
Local Device has the ability to comply with the message received.","0x0001: Will comply with message
0x0000: Cannot comply with message"
,ANNPTR,,0x0007,11,Toggle,0x0000,RO,"Toggle:
1 = Toggle bit in previously transmitted Link Code Word was 0
0 = Toggle bit in previously transmitted Link Code Word was 1
Toggle is used by the Arbiitration function within Auto-Negotiation to synchronize with the Link Parnter during Next Page exchange. This bit always takes the opposite value of the Toggle bit in the previously exchanged Link Code Word.","0x0001: Toggle bit in previously transmitted Link Code Word was 0
0x0000: Toggle bit in previously transmitted Link Code Word was 1"
,ANNPTR,,0x0007,10..0,CODE,0x0001,RW,"This field represents the code field of the next page transmission. If the Message Page bit is set (bit [13] of this register), then the code is interpreted as a Message Page, as defined in annex 28C of IEEE
802.3u. Otherwise, the code is interperated as an Unformatted Page, and the interpretation is application specific.
The default value of the CODE represents a Null Page as defined in
Annex 28C of IEEE 802.3u.",
,ANLNPTR,,0x0008,15,Next Page,0x0000,RO,"Next Page Indication:
1 = Advertise desire to send additional next pages
0 = Do not advertise desire to send additional next pages","0x0001: Advertise desire to send additional next pages
0x0000: Do not advertise desire to send additional next pages"
,ANLNPTR,,0x0008,14,Acknowledge,0x0000,RO,"Acknowledge:
1 = Link partner acknowledges reception of link code word
0 = Link partner does not acknowledge reception of link code work","0x0001: Link partner acknowledges reception of link code word
0x0000: Link partner does not acknowledge reception of link code work"
,ANLNPTR,,0x0008,13,Message Page,0x0000,RO,"Message Page:
1 = Current page is a message page
0 = Current page is an unformatted page","0x0001: Current page is a message page
0x0000: Current page is an unformatted page"
,ANLNPTR,,0x0008,12,Acknowledge 2,0x0000,RO,"Acknowledge2:
1 = Will comply with message
0 = Cannot comply with message
Acknowledge2 is  used  by  the next page  function to indicate that
Local Device has the ability to comply with the message received.","0x0001: Will comply with message
0x0000: Cannot comply with message"
,ANLNPTR,,0x0008,11,Toggle,0x0000,RO,"Toggle:
1 = Toggle bit in previously transmitted Link Code Word was 0
0 = Toggle bit in previously transmitted Link Code Word was 1
Toggle is used by the Arbiitration function within Auto-Negotiation to synchronize with the Link Parnter during Next Page exchange. This bit always takes the opposite value of the Toggle bit in the previously exchanged Link Code Word.","0x0001: Toggle bit in previously transmitted Link Code Word was 0
0x0000: Toggle bit in previously transmitted Link Code Word was 1"
,ANLNPTR,,0x0008,10..0,Message/ Unformatted Field,0x0001,RO,"This field represents the code field of the next page transmission. If the Message Page bit is set (bit 13 of this register), then the code is interpreted as a Message Page, as defined in annex 28C of IEEE
802.3u. Otherwise, the code is interperated as an Unformatted Page, and the interpretation is application specific.
The default value of the CODE represents a Null Page as defined in
Annex 28C of IEEE 802.3u.",
,CR1,,0x0009,15..10,Reserved,0x0000,RO,Reserved,
,CR1,,0x0009,9,RMII Enhanced Mode,0x0000,RW,"RMII Enhanced Mode:
1 = Enable RMII Enhanced Mode
0 = RMII operated in normal mode
In normal RMII mode, if the line is not idle, CRS_DV goes high. As soon as the False Carrier is detected, RX_ER is asserted and RXD is set to ""2"" (0010). This situation remains for the duration of the receive event. While in enhanced mode, CRS_DV is disqualified and de- asserted when the False Carrier is detected. This status also remains for the duration of the receive event. In addition, in normal mode, the start of the packet is intact. Each symbol error is indicatied by setting RX_ER high. The data on RXD is replaced with ""1"" starting with the first symbol error. While in enhanced mode, the CRS_DV is de- asserted with the first symbol error.","0x0001: Enable RMII Enhanced Mode
0x0000: RMII operated in normal mode"
,CR1,,0x0009,8,TDR Auto-Run,0x0000,RW,"TDR Auto-Run at Link Down:
1 = Enable execution of TDR procedure after link down event
0 = Disable automatic execution of TDR","0x0001: Enable execution of TDR procedure after link down event
0x0000: Disable automatic execution of TDR"
,CR1,,0x0009,7,Link Loss Recovery,0x0000,RW,"Link Loss Recovery:
1 = Enable Link Loss Recovery mechanism
0 = Normal Link Loss operation
This mode allows recovery from short interference and continue to hold the link up for a few additional mSec until the short interference is gone and the signal is OK. Under Normal Link Loss operation, Link status will go down approximately 250?s from signal loss.","0x0001: Enable Link Loss Recovery mechanism
0x0000: Normal Link Loss operation"
,CR1,,0x0009,6,Fast Auto MDIX,0x0000,RW,"Fast Auto-MDIX:
1 = Enable Fast Auto-MDIX
0 = Normal Auto-MDIX
If  both link  partners are  configured to work  in  Force 100Base-TX mode (Auto-Negotiation disabled), this mode enables Automatic MDI/MDIX resolution in a shortened time.","0x0001: Enable Fast Auto-MDIX
0x0000: Normal Auto-MDIX"
,CR1,,0x0009,5,Robust Auto MDIX,0x0000,RW,"Robust Auto-MDIX:
1 = Enable Robust Auto-MDIX
0 = Disable Auto-MDIX
If link partners are configured for operational modes that are not supported by normal Auto-MDIX, Robust Auto-MDIX allows MDI/MDIX resolution and prevents deadlock.
When the DP83822 is strapped for 100 Mbps operation with Auto- MDIX capabilities, Robust Auto-MDIX will be automatically set to aid in MDI/MDIX resolution and deadlock prevention.","0x0001: Enable Robust Auto-MDIX
0x0000: Disable Auto-MDIX"
,CR1,,0x0009,4,Fast Auto-Negotiation Enable,0x0000,RW,"Fast Auto-Negotiation Enable:
1 = Enable Fast Auto-Negotiation
0 = Disable Fast Auto-Negotiation
The PHY Auto-Negotiaties using timer setting according to Fast Auto- Negotiation Select bits (bits[3:2] in this register).","0x0001: Enable Fast Auto-Negotiation
0x0000: Disable Fast Auto-Negotiation"
,CR1,,0x0009,3..2,Fast Auto-Negotiation Select,0x0000,RW,"Fast Auto-Negotiation Select Bits:
Adjusting these bits reduces the time it takes to Auto-Negotiate between two PHYs. In Fast Auto-Negotiation, both PHYs should be set to the same configuration. These 2 bits define the duration for each state of the Auto-Negotiation process according to the table above. The new duration time must be enabled by setting ""Fast Auto Negotiation Enable"" (bit [4] of this register). Note: Using this mode in cases where both link partners are not configured to the same Fast- Autonegotiation configuration might produce scenarios with unexpected behavior. Fast Auto Negotiation Select : Setting:<00>, Break Link Timer 80, Link Fail Inhibit timer 50, Auto negotiation wait timer #; Setting: <01>, 120, 75, # Setting: <10>,240, 150, #; Setting <11>: NA, NA,NA",
,CR1,,0x0009,1,Fast RX_DV Detection,0x0000,RW,"Fast RX_DV Detection:
1 = Enable Fast RX_DV detection
0 = Diable Fast RX_DV detection
When Fast RX_DV is enabled, RX_DV will assert high on receive packet due to detection of the /J/ symbol only. If a consecutive /K/ does not appear, RX_ER is generated. In normal mode, RX_DV will only be asserted after detection of /JK/.","0x0001: Enable Fast RX_DV detection
0x0000: Diable Fast RX_DV detection"
,CR1,,0x0009,0,Reserved,0x0000,RO,Reserved,
,CR2,,0x000A,15,"100Base-TX Force Far-End
Link drop",0x0000,RW,"100Base-TX Force Far-End Link Drop:
Writing a 1 asserts the 100Base-TX Force Far-End link drop mode. In this mode (only valid for 100 Mbps), the PHY disables the TX upon link drop to allow the far-end peer to drop its link as well, thus
allowing both link partners to be aware of the system link failure. This mode exceeds the standard definition of force 100 Mbps.",
,CR2,,0x000A,14,100Base-FX Enable,0x0000,RW/Strap,"100Base-FX Enable:
1 = 100Base-FX mode enabled
0 = 100Base-FX mode disabled","0x0001: 100Base-FX mode enabled
0x0000: 100Base-FX mode disabled"
,CR2,,0x000A,13..7,Reserved,0x0002,RW,Reserved,
,CR2,,0x000A,6,Fast Link-Up in Parallel Detect,0x0000,RW,"Fast Link-Up in Parallel Detect Mode:
1 = Enable Fast Link-Up time during Paralled Detection
0 = Normal Parallel Detection Link establishment
In Fast Auto MDIX and in Robust Auto-MDIX modes (bit[6] and bit[5]
in register CR1), this bit is automatically set.","0x0001: Enable Fast Link-Up time during Paralled Detection
0x0000: Normal Parallel Detection Link establishment"
,CR2,,0x000A,5,Extended Full-Duplex Ability,0x0000,RW,"Extended Full-Duplex Ability:
1 = Enable Extended Full-Duplex Ability
0 = Diable Extended Full-Duplex Ability
In Extended Full-Duplex ability, when the PHY is set to Auto- Negotiation or Force 100Base-TX and the link partner is operated in Force 100Base-TX, the link is always Full-Duplex. When disabled, the decision to work in Full-Duplex or Half-Duplex mode follows IEEE specification.","0x0001: Enable Extended Full-Duplex Ability
0x0000: Diable Extended Full-Duplex Ability"
,CR2,,0x000A,4,Enhanced LED Link,0x0000,RW,"Enhanced LED Link:
1 = LED ON only when link is 100Base-TX Full-Duplex mode
0 = LED ON when link is established
In Enhanced LED Link mode, TX/RX BLINK on activity is disabled for this LED pin. LED will only indicate LINK for established 100Base-TX Full-Duplex links.","0x0001: LED ON only when link is 100Base-TX Full-Duplex mode
0x0000: LED ON when link is established"
,CR2,,0x000A,3,Isolate MII in 100Base-TX Half- Duplex or 10Base-Te,0x0000,RW,"Isolate MII:
1 = Isolate MII Enabled
0 = Normal MII output operation
In Isolate MII, MII outputs are isolated when Half-Duplex link established for 100Base-TX or when Half-Duplex or Full-Duplex link established for 10Base-Te.","0x0001: Isolate MII Enabled
0x0000: Normal MII output operation"
,CR2,,0x000A,2,RX_ER During IDLE,0x0001,RW,"Detection of Receive Symbol Error During IDLE State:
1 = Enable detection of Receive symbol error during IDLE state
0 = Disable detection of Receive symbol error during IDLE state","0x0001: Enable detection of Receive symbol error during IDLE state
0x0000: Disable detection of Receive symbol error during IDLE state"
,CR2,,0x000A,1,Odd-Nibble Detection Disable,0x0000,RW,"Detection of Transmit Error:
1 = Disable detection of transmit error in odd-nibble boundary
0 = Enable detection of transmit error in odd-nibble boundary
Detection of odd-nibble will extend TX_EN by one additional TX_CLK cycle and behaves as if TX_ER were asserted during that additional cycle","0x0001: Disable detection of transmit error in odd-nibble boundary
0x0000: Enable detection of transmit error in odd-nibble boundary"
,CR2,,0x000A,0,RMII Receive Clock,0x0000,RW,"RMII Receive Clock:
1 = RMII Data (RXD[1:0]) is sampled and referenced to RX_CLK
0 = RMII Data (RXD[1:0]) is sampled and referenced to XI","0x0001: RMII Data (RXD[1:0]) is sampled and referenced to RX_CLK
0x0000: RMII Data (RXD[1:0]) is sampled and referenced to XI"
,CR3,,0x000B,15..11,Reserved,0x0002,RW,Reserved,
,CR3,,0x000B,10,"Descrambler Fast Link Down
Mode",0x0000,RW,"Descrambler Fast Link Drop:
1 = Drop the link on descrambler link loss
0 = Do not drop the link on descrambler link loss
This option can be enabled in parallel to the other fast link down modes in bits[3:0].","0x0001: Drop the link on descrambler link loss
0x0000: Do not drop the link on descrambler link loss"
,CR3,,0x000B,9..7,Reserved,0x0000,RW,Reserved,
,CR3,,0x000B,6,Polarity Swap,0x0000,RW,"Polarity Swap:
1 = Inverted polarity on both pairs: TD+ and TD-, RD+ and RD-
0 = Normal polarity
Port Mirror Function:
To enable port mirroring, set this bit and bit [5] high.","0x0001: Inverted polarity on both pairs: TD+ and TD-, RD+ and RD-
0x0000: Normal polarity"
,CR3,,0x000B,5,MDI/MDIX Swap,0x0000,RW,"MDI/MDIX Swap:
1 = Swap MDI pairs (Receive on TD pair, Transmit on RD pair)
0 = MDI pairs normal (Receive on RD pair, Transmit on TD pair)
Port Mirror Function:
To enable port mirroring, set this bit and bit[6] high.","0x0001: Swap MDI pairs (Receive on TD pair, Transmit on RD pair)
0x0000: MDI pairs normal (Receive on RD pair, Transmit on TD pair)"
,CR3,,0x000B,4,Reserved,0x0000,RW,Reserved,
,CR3,,0x000B,3..0,Fast Link Down Mode,0x0000,RW,"Fast Link Down Modes:
Bit 3 Drop the link based on RX Error count of the MII interface. When a predefined number of 32 RX Error occurences in a 10?s interval is reached, the link will be dropped.
Bit 2 Drop the link based on MLT3 Error count (Violation of the
MLT3 coding in the DSP output). When a predefined number of 20
MLT3 Error occurences in a 10?s interval is reached, the link will be dropped.
Bit  1  Drop  the  link  based  on  Low  SNR  Threshold.  When  a predefined number of 20 Threshold crossing occurences in a 10?s interval is reached, the link will be dropped.
Bit 0 Drop the link based on Signal/Energy Loss indication. When the Energy detector indicates Energy Loss, the link will be dropped. Typical reaction time is 10?s.
The Fast Link Down function is an OR of all 5 options (bit[10] and bits[3:0]), the designer can enable any combination of these conditions.",
,REGCR,,0x000D,15..14,Extended Register Command,0x0000,RW,"Extended Register Command:
00 = Address
01 = Data, no post increment
10 = Data, post increment on read and write
11 = Data, post increment on write only","0x0000: Address
0x0001: Data, no post increment
0x0002: Data, post increment on read and write
0x0003: Data, post increment on write only"
,REGCR,,0x000D,13..5,Reserved,0x0000,RO,Reserved,
,REGCR,,0x000D,4..0,DEVAD,0x0000,RW,"Device Address:
Bits[4:0] are the device address, DEVAD, that directs any accesses
of ADDAR register (0x000E) to the appropriate MMD. Specifically, the DP83822 uses the vendor specific DEVAD [4:0] = ""11111"" for accesses to registers 0x04D1 and lower. For MMD3 access, the DEVAD[4:0] = '00011'. For MMD7 access, the DEVAD[4:0] = '00111'. All accesses through registers REGCR and ADDAR should use the DEVAD for either MMD, MMD3 or MMD7. Transactions with other DEVAD are ignored.",
,ADDAR,,0x000E,15..0,Address/Data,0x0000,RW,"If REGCR register bits[15:14] = '00', holds the MMD DEVAD's address register, otherwise holds the MMD DEVAD's data.",
,FLDS,,0x000F,15..9,Reserved,0x0000,RO,Reserved,
